feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,value
9.5772,11.633,11.786,11.459,4.813,12.035,10.959,10.347,9.7059,12.075,12.379,13.556,2.2432,10.534,4.0516,9.4123,9.2744,11.322,11.367,10.988,4.1417,11.078,10.356,10.149,9.3706,11.337,11.181,13.189,2.1088,8.9755,3.3159,9.1224,8
9.6376,12.209,12.64,12.627,6.1908,11.581,10.92,11.07,9.6609,12.854,12.345,13.609,2.4234,11.085,4.4178,10.527,8.9166,11.446,11.707,12.065,5.4674,10.988,9.9861,10.42,8.7162,12.23,11.721,13.208,2.2076,10.169,4.1439,9.6857,9
9.8936,12.264,12.567,12.671,6.062,12.049,11.014,11.565,10.245,12.667,12.145,13.528,2.3577,11.071,4.4078,10.526,9.4649,11.929,11.999,12.288,5.7194,11.542,10.711,10.889,9.3456,12.065,11.698,13.146,2.161,9.4616,4.1065,10.185,9
9.8989,12.225,12.734,12.784,6.1171,12.024,11.058,11.432,9.7732,12.577,12.139,13.409,2.3731,11.02,4.405,10.404,9.4795,11.781,12.242,12.115,5.6503,11.567,10.791,10.802,9.3321,12.288,11.953,13.292,2.2359,10.059,4.2538,10.182,9
10.079,12.24,12.717,12.761,6.0915,12.034,10.987,11.269,9.7053,12.567,12.133,13.369,2.3908,10.924,4.3991,10.317,9.5338,11.872,12.197,12.117,5.8854,11.498,10.758,11,9.0624,12.157,11.803,13.028,2.2297,10.135,4.2516,9.756,9
9.9381,12.268,12.585,12.733,6.0901,12.003,11.034,11.338,9.6051,12.567,12.157,13.36,2.3904,11.163,4.4232,10.083,9.6388,11.938,12.248,12.375,5.7894,11.679,10.822,10.682,9.2886,12.326,11.952,13.277,2.153,10.376,4.1806,9.6548,9
9.9442,12.105,12.564,12.858,6.0792,11.964,11.115,11.135,9.9484,12.573,12.168,13.35,2.3829,11.199,4.3424,9.8411,9.5852,11.748,12.076,12.007,5.6992,11.536,10.842,10.827,8.9163,12.22,11.856,13.188,2.2125,10.313,4.0669,9.5638,9
9.9538,12.1,12.542,12.845,6.1287,11.825,10.924,11.25,9.7679,12.518,12.125,13.367,2.3829,11.407,4.296,9.8208,9.6992,11.744,12.229,12.363,5.8099,11.394,10.653,10.727,9.0688,12.018,11.865,13.082,2.2074,9.9692,4.0856,9.3119,9
12.012,12.703,12.762,12.478,5.4349,13.23,11.529,11.29,10.604,13.321,12.98,14.254,2.5075,11.63,5.2382,11.329,11.259,12.322,12.482,11.884,4.6377,12.257,11.083,10.84,10.389,13.155,12.712,14.01,2.2962,10.743,4.8208,11.115,10
11.677,12.968,12.791,12.2,5.1703,12.702,11.45,11.136,10.72,13.407,12.922,14.096,2.5665,11.481,5.1244,11.402,11.187,12.534,12.438,11.938,4.6123,12.1,11.066,10.843,10.455,13.055,12.66,13.955,2.3721,10.764,4.8498,11.069,10
11.391,12.881,12.77,12.278,5.0747,12.563,11.402,11.172,10.838,13.504,12.939,14.227,2.4663,11.326,5.2973,11.386,11.12,12.501,12.478,11.743,4.7007,12.098,10.879,10.985,10.452,13.169,12.671,13.857,2.3172,11.009,4.7824,11.188,10
11.652,12.798,12.672,12.124,5.0117,12.516,11.238,11.189,10.751,13.377,12.896,14.236,2.4257,11.483,5.075,11.474,11.156,12.473,12.25,11.784,4.7007,12.235,11.103,10.915,10.402,13.269,12.711,13.931,2.3361,10.959,4.7803,11.295,10
11.547,12.858,12.902,12.537,5.0319,12.549,11.366,11.24,10.895,13.437,12.992,14.308,2.424,11.7,5.1158,11.562,11.037,12.282,12.133,11.77,4.7352,12.107,11.194,10.838,10.711,13.196,12.773,14.023,2.3165,11.271,4.9088,11.42,10
11.546,12.909,12.995,12.614,5.0997,12.223,11.33,11.242,10.803,13.434,12.995,14.281,2.4663,11.699,5.0569,11.604,11.031,12.35,12.555,11.967,4.7352,11.918,10.877,10.562,10.593,12.873,12.44,13.925,2.3142,10.596,4.4686,11.093,10
11.424,12.914,12.954,12.753,5.1215,12.251,11.528,11.216,10.77,13.214,12.982,14.181,2.4243,11.452,4.8481,11.421,11.083,12.495,12.461,11.878,4.9678,11.991,11.149,10.786,10.464,12.957,12.685,13.993,2.2899,10.873,4.5551,11.266,10
